"sigla","pais","grupo_idh","regiao","ranking_idh","idh","idh_ev","idh_ee","idh_me","idh_rpc","gdi","gdi_idh_f","gdi_ev_f","gdi_ee_f","gdi_me_f","gdi_rpc_f","gdi_idh_m","gdi_ev_m","gdi_ee_m","gdi_me_m","gdi_rpc_m","extra_ap_f","extra_ap_m","extra_ft_f","extra_ft_m","extra_co2","extra_pop"
"TGO","Togo","Baixo","África Sub-sahariana",163,0.547,61.588,12.96236085,5.590314011,2214.233649,0.848,0.505056237,62.227,12.54580104,4.189005873,1743.967858,0.595597935,60.946,14.30199431,7.173578732,2679.451158,18.68131868,81.31868132,79.78,98.58,0.295656513,8.8486985
"TON","Tonga","Alto","Ásia do Leste e Pacífico",98,0.739,71.27,16.28749084,10.88028609,6360.178905,0.996,0.736014254,74.123,17.36092949,10.95345124,5050.794003,0.738976359,68.581,15.22014999,10.79560787,7698.341634,3.703703704,96.2962963,42.96,54.89,1.803201373,0.1068575
"TTO","Trinidad e Tobago","Muito Alto","América Latina e Caribe",60,0.814,74.708,14.1010764,11.73800258,22473.03876,0.992,0.808990149,78.153,14.4262109,11.8669197,17088.10549,0.81528778,71.307,13.75127715,11.61312459,28006.77469,32.43243243,67.56756757,47.28,62.37,23.28987463,1.5310445
"TUN","Tunísia","Alto","Países Árabes",101,0.732,74.263,14.61953746,7.953393173,10296.6496,0.928,0.697668769,77.408,15.51537756,7.277901917,5198.379008,0.751413753,71.367,13.75383953,8.691025971,15528.15685,26.26728111,73.73271889,29.25,71.81,2.874056528,12.356117
"TUR","Turquia","Muito Alto","Europa e Ásia Central",45,0.855,78.475,19.68494987,8.811284129,32833.53512,0.941,0.824979289,81.495,19.56439018,8.07304427,20537.51796,0.876372827,75.38,19.80443954,9.565563719,45076.75429,17.35395189,82.64604811,35.11,71.43,5.340025274,85.341241
"TKM","Turcomenistão","Alto","Europa e Ásia Central",94,0.744,69.41,13.24057961,11.14299353,12859.87406,NA,NA,72.916,13.24944973,10.83326343,NA,NA,65.916,13.23244953,11.47497743,NA,25.73099415,74.26900585,NA,NA,11.03383789,6.4307705
"TUV","Tuvalu","Mediano","Ásia do Leste e Pacífico",132,0.653,64.854,12.10158014,10.64458626,4754.453732,0.975,0.643276599,69.391,12.42263985,10.46696417,3378.31189,0.659490041,61.136,11.83052015,10.81373917,6062.607191,6.25,93.75,20.03,29.63,1.023741521,0.0113115
"UGA","Uganda","Mediano","África Sub-sahariana",159,0.55,63.638,11.49553237,6.235476362,2240.585404,0.899,0.521807851,65.703,11.14553059,5.15520031,1890.385283,0.580322356,61.486,11.89354635,7.698595172,2597.473697,33.81294964,66.18705036,74.53,84.24,0.132002209,47.249585
"UKR","Ucrânia","Alto","Europa e Ásia Central",100,0.734,68.564,13.32800961,11.12330123,11416.2168,1.021,0.741323069,73.904,13.54051018,11.43926415,9024.546023,0.726191704,63.525,13.12753963,10.72435068,14232.99303,20.33096927,79.66903073,47.77,62.87,4.827623136,39.701739
"ARE","Emirados Árabes Unidos","Muito Alto","Países Árabes",17,0.937,79.196,17.20813942,12.77375031,74103.71494,0.986,0.922939594,81.412,19.75328064,12.58837032,51509.56703,0.936027371,77.72,16.37989998,12.90589046,84087.84953,50,50,55.32,89.45,25.33327567,9.4411285
"GBR","Reino Unido","Muito Alto",NA,15,0.94,82.156,17.6342907,13.4061203,46623.90269,0.976,0.926495468,83.834,18.20903969,13.44999981,35910.26203,0.948877869,80.439,17.05068016,13.36056995,57590.60505,31.32022472,68.67977528,59.1,67.98,5.164383683,67.5089355
